GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsServiceImpl,39,6,0,0,10,3,2,1,2,1
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsImpl,78,0,6,0,19,0,17,0,14,0
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsImpl.UserDetailsImplBuilder,86,0,0,0,1,0,9,0,9,0
yoga-app,com.openclassrooms.starterjwt.payload.response,JwtResponse,73,0,0,0,16,0,15,0,15,0
yoga-app,com.openclassrooms.starterjwt.payload.response,MessageResponse,13,0,0,0,6,0,3,0,3,0
yoga-app,com.openclassrooms.starterjwt.services,SessionService,145,9,12,0,26,4,16,1,10,1
yoga-app,com.openclassrooms.starterjwt.services,UserService,13,6,0,0,3,3,2,1,2,1
yoga-app,com.openclassrooms.starterjwt.services,TeacherService,12,6,0,0,2,3,2,1,2,1
yoga-app,com.openclassrooms.starterjwt.dto,SessionDto,411,0,70,0,11,0,57,0,22,0
yoga-app,com.openclassrooms.starterjwt.dto,UserDto,440,0,78,0,11,0,61,0,22,0
yoga-app,com.openclassrooms.starterjwt.dto,TeacherDto,273,0,46,0,8,0,39,0,16,0
yoga-app,com.openclassrooms.starterjwt.security,WebSecurityConfig,0,71,0,0,0,14,0,6,0,6
yoga-app,com.openclassrooms.starterjwt.security.jwt,AuthTokenFilter,69,7,8,0,17,2,6,2,2,2
yoga-app,com.openclassrooms.starterjwt.security.jwt,AuthEntryPointJwt,48,7,0,0,11,2,1,2,1,2
yoga-app,com.openclassrooms.starterjwt.security.jwt,JwtUtils,85,7,0,0,22,2,3,2,3,2
yoga-app,com.openclassrooms.starterjwt.models,User.UserBuilder,138,0,8,0,1,0,15,0,11,0
yoga-app,com.openclassrooms.starterjwt.models,Teacher.TeacherBuilder,74,0,0,0,1,0,8,0,8,0
yoga-app,com.openclassrooms.starterjwt.models,Session.SessionBuilder,110,0,0,0,1,0,11,0,11,0
yoga-app,com.openclassrooms.starterjwt.models,User,305,3,38,0,14,1,42,1,23,1
yoga-app,com.openclassrooms.starterjwt.models,Session,203,3,14,0,13,1,29,1,22,1
yoga-app,com.openclassrooms.starterjwt.models,Teacher,155,3,14,0,10,1,23,1,16,1
yoga-app,com.openclassrooms.starterjwt.exception,NotFoundException,3,0,0,0,1,0,1,0,1,0
yoga-app,com.openclassrooms.starterjwt.exception,BadRequestException,3,0,0,0,1,0,1,0,1,0
yoga-app,com.openclassrooms.starterjwt.controllers,UserController,62,9,6,0,16,4,5,1,2,1
yoga-app,com.openclassrooms.starterjwt.controllers,TeacherController,34,9,2,0,8,4,3,1,2,1
yoga-app,com.openclassrooms.starterjwt.controllers,SessionController,132,13,4,0,31,5,9,2,7,2
yoga-app,com.openclassrooms.starterjwt.controllers,AuthController,96,15,4,0,25,6,4,1,2,1
yoga-app,com.openclassrooms.starterjwt.payload.request,SignupRequest,212,0,38,0,5,0,32,0,13,0
yoga-app,com.openclassrooms.starterjwt.payload.request,LoginRequest,17,0,0,0,7,0,5,0,5,0
yoga-app,com.openclassrooms.starterjwt.mapper,SessionMapperImpl,213,3,22,0,47,1,18,1,7,1
yoga-app,com.openclassrooms.starterjwt.mapper,TeacherMapperImpl,122,3,12,0,32,1,10,1,4,1
yoga-app,com.openclassrooms.starterjwt.mapper,SessionMapper,0,3,0,0,0,1,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.mapper,UserMapperImpl,149,3,12,0,38,1,10,1,4,1
yoga-app,com.openclassrooms.starterjwt,SpringBootSecurityJwtApplication,18,3,0,0,5,1,2,1,2,1
